Produto	Descrição	Família	Origem
F00348	SEMOLA GRANO DURO	1001	10
F00407	FIBRA DE TRIGO FINA	1001	10
F00410	FARINHA TRIGO ESPECIAL SERINGADO	1001	10
F00471	FARINHA TRIGO INTEGRAL (MASSA)	1001	10
F00472	INATIVO FARINHA TRIGO COTRIEL	1001	10
F00473	INATIVO FARINHA TRIGO ESPECIAL BELLA DICA	1001	10
F00474	INATIVO FARINHA TRIGO RUSTON	1001	10
F00649	FARINHA TRIGO COMUM MASSA	1001	10
F00764	FARINHA TRIGO INTEGRAL (BISCOITO)	1001	10
G00086	GORDURA VEGETAL PARA MAC INSTANTANEO GRANEL	1008	10
G00087	GORDURA VEGETAL PARA BISCOITO	1008	10
G00088	GORDURA VEGETAL RECHEIO FORNEAVEL PRO FIL 00	1008	10
G00089	MARGARINA PARA FOLHAR EM BLOCOS	1008	10
G00090	GORDURA VEGETAL BISCOITO EM CAIXA	1008	10
G00374	OLEO DE SOJA EM LITRO	1008	10
G00412	MANTEIGA COM SAL	1008	10
G00476	MANTEIGA SEM SAL	1008	10
G00680	MARGARINA CREMOSA ZERO TRANS SEM SAL	1008	10
G00760	OLEO DE GIRASSOL	1008	10
G00841	GORDURA VEGETAL AKOSPREAD NH 51 BALDE	1008	10
G00888	AZEITE DE OLIVA EXTRA VIRGEM	1008	10
G00942	MARGARINA COM SAL	1008	10
G01030	OLEO DE ALGODAO	1008	10
G01038	GORDURA EM PO BIOCAKE MONOSOFT	1008	10
G01048	GORDURA ANIDRA DO LEITE	1008	10
G01057	GORDURA AGP 600 BD	1008	10
G01196	MANTEIGA CLARIFICADA	1008	10
I00663	INATIVO MIX DE FRUTAS VERMELHAS	1024	10
I00664	DAMASCO	1024	10
I00665	PASSA DE UVA BRANCA	1024	10
I00666	PISTACHE DESCASCADO	1024	10
I00667	FLOCOS DE ARROZ	1024	10
I00668	CASTANHA DO PARA GRANULADA	1024	10
I00669	AMENDOA LAMINADA SEM PELE	1024	10
I00670	COCO EM CUBOS	1024	10
I00671	GOMA ARABICA	1024	10
I00675	MIX DE CEREAIS	1024	10
I00678	COCO RALADO	1024	10
I00681	CASTANHA DE CAJU TORRADA INTEIRA W 240	1024	10
I00687	COCO QUEIMADO EM ACUCAR DEMERARA GRANULADO	1024	10
I00688	AVELA CARAMELIZADA	1024	10
I00689	CASTANHA DE CAJU CARAMELIZADA	1024	10
I00703	NOZ PECA INTEIRA	1024	10
I00704	AMENDOA INTEIRA	1024	10
I00707	ALHO IN NATURA	1024	10
I00745	NEUTRO SELECTA CREAM	1025	10
I00746	NEUTRO TOPPING PO PARA PREPARO	1025	10
I00747	NEUTRO SELECTA REAL SABOR PO REALCADOR	1025	10
I00748	NEUTRO SUPER LIGA NEUTRA ESTABILIZANTE	1025	10
I00749	ALGEMIX CHOCOLATE SUICO PO PARA GELADOS	1025	10
I00750	ALGEMIX BAUNILHA BRANCA PO PARA SORVETE	1025	10
I00753	PASTA DE PISTACHE REFINADA	1024	10
I00843	FLOCOS DE MORANGO DESIDRATADO	1024	10
I00844	GELEIA DE AMORA	1024	10
I00845	GELEIA DE ABACAXI COM PIMENTA	1024	10
I00846	CEREJA	1024	10
I00848	SUCO DE MARACUJA	1024	10
I00849	OREGANO	1024	10
I00850	UVA PASSA FLAME	1024	10
I00851	PASTA DE AVELA REFINADA	1024	10
I00852	AVELA	1024	10
I00853	PASTA CASTANHA DE CAJU	1024	10
I00854	MIX FRUTAS VERMELHAS DESIDRATADAS EM PEDACOS	1024	10
I00855	MORANGO LIOFILIZADO EM PO	1024	10
I00856	VANILINA CRISTALIZADA 100%	1024	10
I00857	NOZES TRITURADAS	1024	10
I00858	INATIVO OVO	1024	10
I00859	FRUTAS CRISTALIZADAS	1024	10
I00860	TEMPERO VERDE	1024	10
I00861	PALMITO EM CONSERVA	1024	10
I00862	WHISKY	1024	10
I00883	MEL LIQUIDO	1024	10
I00896	PAO DE SANDUICHE SEHNEN	1026	10
I00897	PAO FATIADO INTEGRAL SEHNEN	1026	10
I00935	GELEIA DE BLUEBERRY	1024	10
I00936	INATIVO - BALA BUTTER TOFFE	1024	10
I00937	BALA BUTTER TOFFE	1024	10
I00939	COCO RALADO MEDIO SEM ACUCAR	1024	10
I00940	COCO QUEIMADO EM CUBOS CARAMELIZADOS	1024	10
I00943	OVO UNIDADE	1024	10
I00966	NOZ CHILENA	1024	10
I01013	LICOR AMARULA	1024	10
I01016	FLOR DE SAL	1024	10
I01023	LARANJA DESIDRATADA DUAS RODAS	1024	10
I01024	MENTA DESIDRATADA DUAS RODAS	1024	10
I01026	GELATINA INCOLOR	1024	10
I01029	MERENGUE	1024	10
I01036	STEVIA REB60	1024	10
I01059	TALCO ALIMENTICIO	1024	10
I01084	CREME CONFEITEIRO SABOR BAUNILHA	1024	10
I01124	BISCOITO NATA CASEIRO A GRANEL	1030	10
I01125	BISCOITO PISTACHE CASEIRO A GRANEL	1030	10
I01126	BISCOITO LIMAO CASEIRO A GRANEL	1030	10
I01127	BISCOITO CHAMPAGNE A GRANEL	1030	10
I01128	BISCOITO MARIA A GRANEL	1030	10
I01129	BISCOITO CREAM CRACKER A GRANEL	1030	10
I01130	BISOCITO CREAM CRACKER INTEGRAL A GRANEL	1030	10
I01131	POLVILHO DOCE A GRANEL	1030	10
I01132	BISCOITO BLACK A GRANEL	1030	10
I01133	WAFER CHOCOLATE A GRANEL	1030	10
I01134	WAFER CHOCOLATE COM COCO A GRANEL	1030	10
I01135	WAFER CHOCOALTE BRANCO A GRANEL	1030	10
I01136	DALLAS FARINHA DE TRIGO PREMIUM A GRANEL	1030	10
I01137	LEVIT FARINHA DE AVEIA A GRANEL	1030	10
I01141	MATCHA PURO	1024	10
I01142	BISCOITO MARIA CHOCOLATE A GRANEL	1030	10
I01144	MARSHMALLOW EM PO	1024	10
I01148	CONFEITO MICANGA 8 CORES	1024	10
I01159	GRANULADO MESCLADO	1024	10
I01160	FLOCOS MACIO PISTACHE	1024	10
I01161	CONFEITO MICANGA VERDE E VERMELHA	1024	10
I01165	BISCOITO TUTTO MORANGO A GRANEL	1030	10
I01166	FRAMBOESA EM PO	1024	10
I01169	BISCOITO CATTERINO BLACK ZERO A GRANEL	1030	10
I01176	PO OURO DECORACAO	1024	10
M00012	AROMA ARTIFICIAL CHOCOLATE DUAS RODAS COD. 5085024200010117	1003	10
M00013	AROMA IDENTICO AO NATURAL CHOCOLATE MEIO AMARGO SOLUTASTE COD. 35422	1003	10
M00014	AROMA NATURAL CHOCOLATE DUAS RODAS COD. 5062024200020117	1003	10
M00015	AROMA IDENTICO AO NATURAL BANANA DUAS RODAS COD. 5085011300020117	1003	10
M00016	AROMA ARTIFICIAL COCO DUAS RODAS COD. 5085025700380117	1003	10
M00017	AROMA IDENTICO AO NATURAL LEITE DUAS RODAS COD. 5085047500350117	1003	10
M00018	AROMA IDENTICO AO NATURAL CAFE DUAS RODAS COD. 5085016500100117	1003	10
M00019	AROMA IDENTICO AO NATURAL CHOCOLATE COM CARAMELO SOLUTASTE COD. 44491	1003	10
M00020	AROMA IDENTICO AO NATURAL NATA AROMAX COD. 198010	1003	10
M00021	AROMA ARTIFICIAL MAISENA DUAS RODAS COD. 5085050200040117	1003	10
M00022	AROMA NATURAL CHOCOLATE EM PO DUAS RODAS COD. 5073016000070176 PREP.	1003	10
M00023	AROMA IDENTICO AO NATURAL COCO ALBRECHT COD. L-27E	1003	10
M00024	AROMA IDENTICO AO NATURAL BAUNILHA CACAU DUAS RODAS COD. 5085012500010	1003	10
M00025	AROMA ARTIFICIAL CREME DE NATA ALBRECHT COD. T93	1003	10
M00026	AROMA NATURAL LARANJA ALBRECHT COD. 523-20C	1003	10
M00027	AROMA NATURAL GALINHA ASSADA SOLUTASTE COD. 54068	1003	10
M00028	AROMA IDENTICO AO NATURAL MANTEIGA DUAS RODAS COD. 5085.0529.0048.0117	1003	10
M00029	AROMA IDENTICO AO NATURAL BAUNILHA DUAS RODAS COD. 5085012300020112	1003	10
M00030	AROMA IDENTICO AO NATURAL MANTEIGA ALBRECHT COD. 11A-05F	1003	10
M00031	AROMA IDENTICO AO NATURAL MEL MANE COD. B78392	1003	10
M00032	AROMA IDENTICO AO NATURAL AVEIA MANE COD. B78391	1003	10
M00033	AROMA IDENTICO AO NATURAL INTEGRAL MASKING BAUNILHA DUAS RODAS COD. 50	1003	10
M00034	AROMA NATURAL CEBOLA DUAS RODAS COD. 5079020700040201	1003	10
M00036	AROMA NATURAL AIPO DUAS RODAS COD. 5079002500010201	1003	10
M00037	AROMA ARTIFICIAL CARNE DUAS RODAS COD. 5079037700050201	1003	10
M00038	AROMA ARTIFICIAL PISTACHE GIANNONE COD. 1470	1003	10
M00039	AROMA IDENTICO AO NATURAL LIMAO DUAS RODAS COD. 5085048400510188	1003	10
M00040	AROMA IDENTICO AO NATURAL LEITE MADRI COD. 4001012	1003	10
M00041	CORANTE BISCOITO CARAMELO	1004	10
M00042	CORANTE MASSA	1004	10
M00043	CORANTE MASSA CORANTEC	1004	10
M00044	BICARBONATO DE AMONIO	1005	10
M00045	BICARBONATO DE SODIO	1005	10
M00046	GLUTAMATO MONOSSODICO	1005	10
M00047	METABISSULFITO DE SODIO	1005	10
M00048	PIROFOSFATO ACIDO SODIO	1005	10
M00049	PROPIONATO DE CALCIO	1005	10
M00050	ACIDO CITRICO	1005	10
M00051	SORBATO DE POTASSIO	1005	10
M00052	MIANJIA BR INSTANTANEO	1005	10
M00053	ESTABILIZANTE MACARRAO INSTANTANEO 5041060700010201	1005	10
M00054	FOSFATO TRICALCICO	1005	10
M00055	FOSFATO MONOCALCICO	1005	10
M00056	ANTIOXIDANTE CA-FORT 1010	1005	10
M00057	ENZIMA BIOLASE N800	1006	10
M00058	FERMENTO BIOLOGICO SECO	1006	10
M00059	OVO INTEGRAL EM PO	1006	10
M00060	LECITINA DE SOJA EM PO	1006	10
M00061	ADITIVO MIX AROMA S/OLEO S/SAL	1006	10
M00062	FARINHA CENTEIO	1006	10
M00063	BATATA EM PO	1006	10
M00064	HIDROLISADO PROTEICO VEGETAL EM PO DUAS RODAS 5112096600030201	1006	10
M00065	INATIVO PEITO DE FRANGO EM CUBOS	1006	10
M00066	CENOURA TRITURADA	1006	10
M00067	ERVILHA EM PO	1006	10
M00068	CARNE BOVINA MOIDA	1006	10
M00069	VANA CAPPA 26K CAPUCCINO	1006	10
M00070	GOMA GRINDSTED XANTHAN ULTRA	1006	10
M00071	BANANA DESIDRATADA EM FLOCOS 5106011300060235	1006	10
M00072	CANELA EM PO	1006	10
M00073	CRAVO EM PO	1006	10
M00074	NOZ MOSCADA EM PO	1006	10
M00075	GRANOLA TRADICIONAL	1006	10
M00076	FERMENTO BIOLOGICO MOLHADO	1006	10
M00077	EXTRATO DE MALTE XAROPOSO	1006	10
M00078	ANTIOXIDANTE EN HANCE A101 (TBHQ)	1006	10
M00079	EMULSIFICANTE SSL 3426	1006	10
M00080	INATIVOSORBITOL	1006	10
M00081	GLICERINA	1006	10
M00082	SAL IODADO EXTRA FINO 25KG	1006	10
M00083	SAL IODADO PARA COBERTURA	1006	10
M00084	AMIDO MODIFICADO	1007	10
M00085	AMIDO DE MILHO	1007	10
M00115	FARINHA MANDIOCA	1014	10
M00116	SAGU DE MANDIOCA	1014	10
M00117	FARINHA MANDIOCA TORRADA	1014	10
M00118	FARINHA MANDIOCA TORRADA PARA EMPACOTAR	1014	10
M00119	FARINHA MILHO	1015	10
M00120	CANJICA MILHO AMARELO	1015	10
M00121	MILHO PIPOCA NACIONAL	1015	10
M00122	CANJIQUINHA DE MILHO	1015	10
M00123	CREME DE MILHO	1015	10
M00124	FARINHA MILHO PARA POLENTA	1015	10
M00125	CEBOLINHA DESIDRATADA	1016	10
M00126	SALSA DESIDRATADA 10 KG	1016	10
M00127	CEBOLA EM PO 20 KG	1016	10
M00128	TOMATE EM FLOCOS DESIDRATADO	1016	10
M00129	ALHO EM PO	1016	10
M00130	SACHE TEMPERO CARNE	1017	10
M00131	SACHE TEMPERO GALINHA	1017	10
M00132	SACHE TEMPERO GALINHA CAIPIRA	1017	10
M00133	SACHE DE TEMPERO CARNE CREMOSO	1017	10
M00134	SACHE TEMPERO GALINHA CREMOSO	1017	10
M00135	SACHE TEMPERO LEGUMES	1017	10
M00136	SACHE TEMPERO TOMATE	1017	10
M00137	SACHE TEMPERO QUEIJO CREMOSO	1017	10
M00138	INATIVO TEMPERO SABOR GALINHA CAIPIRA ISABELA	1017	10
M00139	INATIVO TEMPERO SABOR GALINHA ISABELA	1017	10
M00140	INATIVO TEMPERO SABOR CARNE ISABELA	1017	10
M00141	RECHEIO FORNEAVEL GOIABA	1018	10
M00142	SUBSTITUTO DE VANILINA GRASSE 182850	1018	10
M00143	MACA DESIDRATADA A GRANEL	1019	10
M00144	CEVADA TORRADA MOIDA	1020	10
M00145	CEVADA SOLUVEL	1020	10
M00350	AMENDOIM RUNER	1009	10
M00351	CEVADINHA DESCASCASCADA	1009	10
M00352	LINHACA	1009	10
M00353	CANJICA TRIGO	1009	10
M00354	ERVILHAS PARTIDAS	1009	10
M00355	TRIGO PARA KIBE	1009	10
M00356	FARELO DE TRIGO GROSSO	1009	10
M00357	AMENDOIM TORRADO E GRANULADO	1009	10
M00358	FARELO DE ARROZ	1010	10
M00359	ARROZ QUEBRADO	1010	10
M00360	AVEIA EM FLOCOS EM SACO	1011	10
M00361	AVEIA FLOCOS FINOS EM SACO	1011	10
M00362	FARINHA AVEIA EM SACO	1011	10
M00363	FARELO DE AVEIA EM SACO	1011	10
M00364	CACAU EM PO ALCALINO	1012	10
M00365	GOTAS DE CHOCOLATE	1012	10
M00366	CACAU EM PO VERMELHO 10/12% ACHOC	1012	10
M00367	CHOCOLATE AO LEITE BARRY SELECAO 38%	1012	10
M00368	CHOCOLATE NOBRE MEIO AMARGO BARRY SELECAO 52%	1012	10
M00369	LEITE EM PO DESNATADO	1013	10
M00370	LEITE CONDENSADO	1013	10
M00371	CREME DE LEITE	1013	10
M00372	NATA	1013	10
M00373	PERMEADO DE SORO DE LEITE EM PO	1013	10
M00385	RECHEIO FORNEAVEL MACA COM CANELA	1018	10
M00386	RECHEIO FORNEAVEL DE MORANGO	1018	10
M00387	RECHEIO FORNEAVEL DE LARANJA	1018	10
M00395	INATIVO- SACHE TEMPERO PICANHA	1017	10
M00404	BISCOITO ROSCA GLACE A GRANEL	1021	10
M00406	AROMA IDENTICO AO NATURAL DOCE DE LEITE DUAS RODAS COD. 50850324004011	1003	10
M00408	MEL EM BALDE	1006	10
M00409	EMULSIFICANTE BISCOITO EMUSTAB 5018060700010158	1005	10
M00411	INATIVO - AROMA IDENTICO AO NATURAL MEL CRAMER COD. R22272-00	1003	10
M00445	MEL COM GLACE A GRANEL	1021	10
M00446	SACHE TEMPERO PICANHA	1017	10
M00448	SEMI-ACABADO FARINHA DE MILHO MEDIA PERDIZ-CB 1KG 12 PCTS	1021	10
M00449	EXCLUIR	1021	10
M00450	EXCLUIR	1021	10
M00451	EXCLUIR	1021	10
M00452	EXCLUIR	1021	10
M00453	EXCLUIR	1021	10
M00454	EXCLUIR	1021	10
M00455	EXCLUIR	1021	10
M00456	EXCLUIR	1021	10
M00457	EXCLUIR	1021	10
M00458	EXCLUIR	1021	10
M00459	EXCLUIR	1021	10
M00460	EXCLUIR	1021	10
M00461	EXCLUIR	1021	10
M00482	AROMA IDENTICO AO NATURAL QUEIJO MADRI COD. 5006399	1003	10
M00483	AROMA IDENTICO AO NATURAL BACON MADRI COD. 5003453	1003	10
M00488	QUEIJO PROVOLONE	1013	10
M00489	INATIVO QUEIJO MUSSARELLA FATIADO	1013	10
M00490	SEMI-ACABADO FARINHA DE MILHO GROSSA PERDIZ-CB 1 KG 12 PCTS	1021	10
M00491	SEMI-ACABADO FARINHA DE MILHO PRE-COZIDA PERDIZ-CB 1KG 12 PCTS	1021	10
M00492	INATIVO SEMI-ACABADO FARINHA DE MILHO ESPECIAL PARA POLENTA PERDIZ-TEMPERADA 500 GR 12 PCTS	1021	10
M00493	INATIVO SEMI-ACABADO FARINHA DE MILHO MEDIA PERDIZ 500 GR 12 PCTS	1021	10
M00494	SEMI-ACABADO CORSETTI AMIDO DE MILHO 500 G 12 PCTS	1021	10
M00495	SEMI-ACABADO FARINHA DE MILHO ESPECIAL PARA POLENTA PERDIZ 500 GR 12 PCTS	1021	10
M00496	SEMI-ACABADO CORSETTI AMIDO DE MILHO 200 G 12 PCTS	1021	10
M00497	SEMI-ACABADO POLVILHO AZEDO CORSETTI 12 X 400 G	1021	10
M00498	SEMI-ACABADO POLVILHO DOCE CETIM CORSETTI 500 GR 12 PCTS	1021	10
M00499	SEMI-ACABADO CEREAIS E FRUTAS CEREALVITA-FRUTAS LIGHT 230 GR 12 PCTS	1021	10
M00500	SEMI-ACABADO CEREAIS E FRUTAS CEREALVITA- CASTANHA 230GR 12PCTS	1021	10
M00501	SEMI-ACABADO CEREAIS E FRUTAS CEREALVITA- BANANA E MEL 230 GR  12 PCTS	1021	10
M00502	SEMI-ACABADO CEREAIS E FRUTAS CEREALVITA 230 GR 12 PCTS	1021	10
M00503	INATIVO SEMI-ACABADO GERMANI BISCOITO AGUA E SAL 20 X 345 G	1021	10
M00504	INATIVO SEMI-ACABADO GERMANI BISCOITO CREAM CRACKER 20 X 345 G	1021	10
M00505	SEMI-ACABADO GERMANI MASSA GRANO DURO ESPAGUETE 20 X 500 G	1021	10
M00506	SEMI-ACABADO COROA BISCOITO WAFER MORANGO 30 X 110 G	1021	10
M00507	SEMI-ACABADO COROA BISCOITO WAFER BLACK POWER 30 X 110	1021	10
M00508	SEMI-ACABADO COROA BISCOITO WAFER CHOCOLATE 30 X 110 G	1021	10
M00509	SEMI-ACABADO COROA WAFER CHOCOLATE COM  COCO 30 X 110 G	1021	10
M00510	SEMI-ACABADO VITAL BISCOITO RECHEADO CHOCOLATE 30 X 120 G	1021	10
M00511	SEMI-ACABADO VITAL BISCOITO RECHEADO MORANGO 30 X 120 G	1021	10
M00512	INATIVO SEMI-ACABADO GERMANI BISCOITO BUTTER CRACKER 20 X 345 G	1021	10
M00513	SEMI-ACABADO YPIRANGA BISCOITO RECHEADO MORANGO 30 X 120 G	1021	10
M00514	SEMI-ACABADO YPIRANGA BISCOITO RECHEADO CHOCOLATE 30 X 120 G	1021	10
M00545	SEMI-ACABADO GERMANI BISCOITO CHAMPAGNE 12 X 150 G	1021	10
M00546	SEMI-ACABADO COROA BISCOITO PALITINHO SAL 36 X 75 G	1021	10
M00547	BACON FATIADO	1022	10
M00549	SEMI-ACABADO GERMANI MASSA PENNE GRANO DURO  500 GR 12 PCTS	1021	10
M00550	SEMI-ACABADO GERMANI MASSA FUSILLI GRANO DURO  500 GR 12 PCTS	1021	10
M00551	QUEIJO MUSSARELA	1013	10
M00552	PRESUNTO FATIADO	1022	10
M00553	INATIVO - AROMA IDENTICO AO NATURAL MANGA SOLUTASTE COD 45739	1003	10
M00622	DOCE DE LEITE PARA ALFAJOR	1013	10
M00623	CHOCOLATE NOBRE AMARGO 75% BARRY	1012	10
M00624	CHOCOLATE NOBRE BRANCO BARRY	1012	10
M00625	CHOCOLATE RUBI BARRY CALLEBAUT	1012	10
M00626	LEITE INTEGRAL LIQUIDO	1013	10
M00627	CREME DE AVELA	1012	10
M00628	CARAMELO EM PASTA FG 134	1018	10
M00629	PASTA DE AMENDOIM	1006	10
M00632	COBERTURA FRACIONADA AO LEITE	1012	10
M00633	COBERTURA FRACIONADA BRANCA	1012	10
M00635	INATIVO ALHO IN NATURA	1016	10
M00636	BERINJELA IN NATURA	1016	10
M00637	PIMENTAO AMARELO IN NATURA	1016	10
M00638	TOMATE IN NATURA	1016	10
M00639	PEPPERONI FATIADO	1022	10
M00640	PRESUNTO PARMA	1022	10
M00641	QUEIJO GORGONZOLA	1013	10
M00646	GLUCOSE EM PO	1006	10
M00655	SEMI-ACABADO CORSETTI FARINHA DE MANDIOCA TORRADA 12 X 500G	1021	10
M00656	SEMI-ACABADO CORSETTI FARINHA DE MANDIOCA 12 X 500 G	1021	10
M00657	SEMI-ACABADO CORSETTI FARINHA DE MANDIOCA 12 X 1 KG	1021	10
M00661	CHOCOLATE ZERO ACUCAR	1012	10
M00662	CHOCOLATE NOBRE BRANCO ZERO ACUCAR BARRY	1012	10
M00672	AROMA IDENTICO AO NATURAL MEL CRAMER COD. R22272-00	1003	10
M00673	INATIVO - AROMA ARTIFICIAL CHOCOLATE DUAS RODAS COD. 50	1003	10
M00674	CACAU EM PO BLACK	1012	10
M00676	DOCE DE LEITE BOMBOM	1013	10
M00677	FERMENTO QUIMICO	1006	10
M00679	ENZIMA BIOLASE WP102	1006	10
M00682	AROMA IDENTICO AO NATURAL MANGA SOLUTASTE COD. 45739	1003	10
M00683	AROMA IDENTICO AO NATURAL AVELA PROVA COD. NN063R	1003	10
M00684	MANTEIGA DE CACAU DESODORIZADA	1012	10
M00685	RECHEIO PISTACHE DUO ZERO ACUCAR	1018	10
M00686	RECHEIO OURO NEGRO ZERO ACUCAR	1018	10
M00690	SORO DE LEITE PO	1013	10
M00702	SORBITOL	1005	10
M00706	INATIVO - AROMA IDENTICO AO NATURAL INTEGRAL MASKING BAUNILHA DUAS RODAS COD. 50	1003	10
M00708	QUEIJO MUSSARELA ZERO	1013	10
M00709	QUEIJO MUSSARELA ZERO FORMA	1013	10
M00710	QUEIJO PARMESAO	1013	10
M00711	LEITE ZERO LACTOSE	1013	10
M00751	AROMA IDENTICO AO NATURAL BAUNILHA PROVA COD. PROVANIL 30	1003	10
M00752	MALTITOL	1005	10
M00754	SACHE TEMPERO PICANTE	1017	10
M00755	ENZIMA VERON P	1006	10
M00768	NIBS DE CACAU	1012	10
M00836	ABOBRINHA	1023	10
M00837	REQUEIJAO CREMOSO	1013	10
M00838	TOMATE CEREJA IN NATURA	1023	10
M00840	QUEIJO MUSSARELA DE BUFALA	1013	10
M00842	CACAU EM PO NATURAL	1012	10
M00847	PRESUNTO KG	1022	10
M00863	CORANTE SOFTGEL VERMELHO	1004	10
M00864	PECTINA PARA GELEIA	1005	10
M00865	SUCRALOSE EM PO	1005	10
M00866	GLUCOSE DE MILHO	1005	10
M00867	POLIDEXTROSE	1005	10
M00868	EMULSIFICANTE PS 233 MASTERSENSE	1005	10
M00869	ENZIMA MLN 6000-20	1005	10
M00870	LECITINA DE SOJA	1005	10
M00872	MELHORADOR DE FARINHA	1005	10
M00873	LIMAO IN NATURA	1023	10
M00874	COUVE FLOR	1023	10
M00875	GOIABADA	1023	10
M00876	CRANBERRY	1023	10
M00877	MACA IN NATURA	1023	10
M00878	CEBOLA IN NATURA	1023	10
M00880	SALSICHA 23 CM	1022	10
M00881	CARNE DE FRANGO CONGELADA	1022	10
M00882	POLVILHO DOCE	1014	10
M00884	LEITE EM PO INTEGRAL	1013	10
M00885	CREAM CHEESE	1013	10
M00886	AROMA IDENTICO AO NATURAL MENTA GIANONE COD DP 5845	1003	10
M00887	CAFE SOLUVEL	1020	10
M00889	DOCE DE LEITE LA SERENISSIMA	1013	10
M00895	LIQUOR DE CACAU	1012	10
M00934	CHOCOLATE MEIO AMARGO ZERO	1012	10
M00938	COGUMELO FUNGHI	1023	10
M00941	PAO DE FORMA SEM GLUTEM	1009	10
M00944	QUEIJO PRATO	1013	10
M00946	CREME DE RICOTA	1013	10
M00954	IOGURTE	1013	10
M00957	PGPR 4150	1006	10
M00988	AMENDOIM TORRADO	1009	10
M00993	GELATINA SEM SABOR INCOLOR	1006	10
M00994	CHANTILLY 1 L	1006	10
M00996	SEMI-ACABADO POLVILHO DOCE CORSETTI 12 X 400 G	1021	10
M01015	AROMA IDENTICO AO NATURAL  DE MENTA CRAMER B2832700	1003	10
M01028	EXTRATO DE BAUNILHA	1006	10
M01031	MARACUJA	1023	10
M01040	SEMI-ACABADO POLVILHO DOCE CORSETTI 12 X 400 G	1021	10
M01041	BEBIDA LACTEA BAUNILHA	1013	10
M01042	ENZIMA DPAN 419 DOREMUS	1006	10
M01044	MISTURA OVO PASTEURIZADO	1006	10
M01051	ANTIMOFO LIQUIDO KEMIN SHIELD FL	1006	10
M01054	CREME DE LEITE EM PO	1013	10
M01058	FLOCO DE MILHO COM CACAU	1015	10
M01064	INATIVO - PANETONE GOTAS DE CHOCOLATE 450 G	1021	10
M01065	INATIVO - PANETONE FRUTAS CRISTALIZADAS 500 G	1021	10
M01066	PANETONE FRUTAS CRISTALIZADAS 500 G	1021	10
M01067	PANETONE GOTAS DE CHOCOLATE 450 G	1021	10
M01068	CACAU EM PO VERMELHO BRY1550 (QUALITY)	1012	10
M01071	WAFFER CHOCOLATE A GRANEL	1021	10
M01072	LEITE EM PO INTEGRAL PADRAO CHOCOLATE	1013	10
M01073	MALTODEXTRINA	1005	10
M01074	SEMI-ACABADO ROSCA COM GLACE	1021	10
M01075	SEMI-ACABADO MEL COM GLACE	1021	10
M01080	AROMA DE CHOCOLATE GA 193842	1003	10
M01086	MOLHO DE TOMATE CONCENTRADO	1023	10
M01087	EMULSIFICANTE GRINSTED PS 702	1005	10
M01088	CORANTE LIQUIDO VERMELHO NATAL	1004	10
M01096	INATIVO - BISCOITO NATA CASEIRO A GRANEL	1021	10
M01111	AROMA INDENTICO AO NATURAL AVELA LIQ MASTERSENSE SC669388	1003	10
M01138	RECHEIO FORNEAVEL DE AVELA	1018	10
M01162	RECHEIO E CIOBERTURA SABOR CARAMELO	1018	10
M01163	AROMA IDENTICO AO NATURAL DE QUEIJO PARMESAO	1003	10
M01179	CORANTE EM PO PARA CHOCOLATE VIOLETA	1004	10
M01229	POLVILHO AZEDO	1014	10
